label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,Oligo,OPC
1,0.48084447825036497,0.4570796732380528,0.4864050005583232,0.4304153330963988,0.45841857815063874,0.44113905890903515,0.4883581389827926
2,0.44754069204942365,0.4967169628158803,0.460816529412287,0.4912243768823582,0.49787874435496293,0.5169147546729483,0.46525303802696233
3,0.42630004690257484,0.4762560591196568,0.4580465673476968,0.4794438218234374,0.47947803219427565,0.44613201041086414,0.4277281025821745
4,0.4546165513271764,0.5023792753345975,0.48646277864880527,0.534389348517079,0.5359760253790774,0.5092156148072874,0.48307557353505653
5,0.4228776016960925,0.5018838400477931,0.47138064250654804,0.5059560931057481,0.513857968275189,0.5072769284895159,0.46622865940489394
6,0.4535560597325011,0.5065480913185847,0.48964565423197004,0.5139178217567208,0.5152342684653038,0.518378668198553,0.4874832069237628
7,0.45983143887372857,0.49088070926647054,0.48044340627724547,0.525567285285813,0.5184844451086832,0.5069554085368754,0.48736729354609715
8,0.463410800469565,0.5012980837938416,0.4834705272420283,0.5330170903644522,0.5291859183494513,0.5049708738178933,0.48802534225893146
9,0.44294797169118094,0.5103303082154685,0.46704836412664646,0.5304544566063177,0.5354448249754991,0.5058551895402907,0.4825911919913297
10,0.4520211933930147,0.5024506084842619,0.5019328342164872,0.5172535564904736,0.5129526190065444,0.5514587918005753,0.4929065099257752
11,0.5109817195046957,0.5289216436436326,0.5151435402995339,0.46879992480801286,0.4831983212740569,0.6046508381361041,0.5322347069483027
12,0.4635901287173185,0.5057435714694626,0.5110338384313309,0.5581071443960886,0.5394230014562986,0.47828701892548736,0.4917022495707883
13,0.46547158874679995,0.5275304423449557,0.5160090850874797,0.5007091936104471,0.4938087906994181,0.5221909333247619,0.481056745358989
14,0.46437985754490274,0.5200376401466503,0.5117125888811939,0.5139123640342381,0.5017252153298011,0.5542212227441847,0.46086210087024243
15,0.48629429619222536,0.5174317536812031,0.4969454744689104,0.5057573416682686,0.4997960061733073,0.5187552125195788,0.4713201898029106
16,0.47755358918659885,0.4795175176473999,0.4757494618630936,0.5107000945711122,0.5050311307460793,0.4997302252737872,0.48399796039182663
17,0.5031599077223423,0.5277790815557064,0.531659093280761,0.5299460793160343,0.5100332642562829,0.5421418596924487,0.48863987937949066
18,0.5011914012404035,0.5022468004349397,0.4943137935441258,0.5367674901002177,0.5326636638163511,0.4991689058857529,0.4900673415844258
19,0.5013251071173638,0.5015660275219943,0.4863887314778784,0.5257591295067455,0.5156431418276237,0.4884109936489267,0.46813076562990097
20,0.5184646006921941,0.47635724335344465,0.47319451109361693,0.5193439502807551,0.5147737157960609,0.4921146434978375,0.4876282651251007
21,0.5031754566149564,0.4665141671664747,0.4840161578316795,0.5152914115011217,0.5024052869248827,0.4843831374194308,0.4701249744258346
22,0.4945297799778505,0.5537131955905037,0.5298745460540673,0.5255808597763264,0.5096231039248592,0.5436540673119052,0.503643839575
23,0.5084844391408376,0.5182923312255268,0.4894979422040509,0.5128268305504761,0.5000442582215904,0.5280412523267628,0.5055083698133155
24,0.4828672973849461,0.47271631701108635,0.47885007670899454,0.5362430409846771,0.5108123047139647,0.46631019558177544,0.4733357968854599
25,0.5110387605433478,0.48402051941546637,0.5074875774649155,0.4738707617395762,0.4825000112320321,0.5200563943062002,0.5295369015585004
26,0.5115126480679785,0.542945521237485,0.5324744094305186,0.5398854859706532,0.5181877021997441,0.48754538902973715,0.5110848936815225
27,0.5121954059874805,0.4998022081472727,0.4805433282295766,0.5254458888835591,0.5041898246609751,0.4965214440836883,0.4886687645834511
28,0.5711176148349328,0.5141523647454703,0.5163540069020548,0.4810923179704876,0.49621346071960254,0.5284003025148083,0.5490576853625266
29,0.5203584259676368,0.49971042487885453,0.4737032428061421,0.5134105308727942,0.5128014893130523,0.5217728810801028,0.49894497042288516
30,0.5192777877597018,0.5107468327320452,0.4962029842747532,0.5387789938653251,0.5226166801899327,0.466415663070415,0.49838820640370834
31,0.5153535346767975,0.49299332838866794,0.5119756467406731,0.5308167294092903,0.5211406914597161,0.4864729469021505,0.5189583395972723
32,0.5832820510704215,0.4932912183097343,0.5380177881859539,0.4819341983395249,0.49848223349510346,0.4852327029315248,0.5592939845578591
33,0.5195593822547566,0.47847855774465614,0.48576220925907204,0.5233714843242132,0.5084141975737263,0.49734156556893705,0.5092414904667234
34,0.5009972109663726,0.5053163244094002,0.49374426215105205,0.515693219664253,0.5070627024180282,0.5259512350719204,0.4816211127884338
35,0.4768542389463197,0.5269163072130452,0.49802699113905524,0.5541824222982445,0.5301475471917129,0.49096746576680056,0.4758730239321944
36,0.4436210235415182,0.4808863170931784,0.44837935178455435,0.546072820673701,0.5315318445899772,0.4548783787797083,0.4496587693855207
37,0.5161943206862486,0.5257168385481299,0.49537718297546995,0.528839762868177,0.5311034963876422,0.4667951177123827,0.49768167410190645
38,0.5175594326528732,0.47767439889682967,0.4991895966848713,0.5154534154701722,0.5046166089585576,0.518117507142403,0.5243676049252523
39,0.47782311729902577,0.49063031765951126,0.4719643940807115,0.5299907231959289,0.5104694293910444,0.5280112018328602,0.4822926876804255
40,0.4657696252974633,0.4776038739743874,0.4686710450225714,0.5437717203479009,0.5252272382723789,0.5049829933657514,0.4868344686304619
41,0.47373118286338123,0.47874507652418563,0.4769832665655649,0.5434829111971089,0.526942927350297,0.44410146616860474,0.475108077078311
42,0.509012386622595,0.49533515249542265,0.5067410375545458,0.5238289242792566,0.5192963258756643,0.49816969292828644,0.5273559560245314
43,0.4782851756162461,0.516917394203114,0.5088740317630664,0.5490703086549564,0.5292023567200935,0.508313088915594,0.49489284944768425
44,0.5651479806816739,0.5162227080640331,0.5146705157370015,0.5318537332046711,0.5315121286864246,0.45293045503447726,0.5440234008759558
45,0.5351173713054377,0.5105927686226432,0.5149075436367307,0.5272869649626681,0.5182872256415014,0.577223238958283,0.5394187174585017
46,0.528063003585048,0.5117677917253455,0.5040418858980801,0.5263651246211868,0.5179020986688584,0.5109960789123145,0.5175755803586236
